block_id,task,shell_ms,transparent_ms,shell_success,transparent_success
m5-20260910-0-host_path_inventory-1,host_path_inventory,13121,28133,true,true
m5-20260910-1-host_cwd_environment-1,host_cwd_environment,7441,11525,true,true
m5-20260910-2-host_literal_argv-1,host_literal_argv,21369,33670,true,true
m5-20260910-3-host_background-1,host_background,15983,22502,true,true
m5-20260910-4-host_cancel_timeout-1,host_cancel_timeout,25829,29644,true,true
m5-20260910-5-host_exit_recovery-1,host_exit_recovery,15618,16391,true,true
m5-20260910-6-host_large_output-1,host_large_output,18197,13081,true,true
m5-20260910-7-host_stdin_stream-1,host_stdin_stream,26966,25820,false,false
m5-20260910-8-host_exit_recovery-2,host_exit_recovery,15757,17592,true,true
m5-20260910-9-host_literal_argv-2,host_literal_argv,21357,17060,true,true
m5-20260910-10-host_large_output-2,host_large_output,16114,15763,true,true
m5-20260910-11-host_cwd_environment-2,host_cwd_environment,13553,10491,true,true
m5-20260910-12-host_cancel_timeout-2,host_cancel_timeout,25240,25997,true,true
m5-20260910-13-host_stdin_stream-2,host_stdin_stream,24093,23536,true,true
m5-20260910-14-host_background-2,host_background,20274,16241,true,true
m5-20260910-15-host_path_inventory-2,host_path_inventory,17347,34552,true,true
m5-20260910-16-host_path_inventory-3,host_path_inventory,33982,28295,true,true
m5-20260910-17-host_cwd_environment-3,host_cwd_environment,18448,16970,true,true
m5-20260910-18-host_exit_recovery-3,host_exit_recovery,16457,15997,true,true
m5-20260910-19-host_large_output-3,host_large_output,12685,15126,true,true
m5-20260910-20-host_literal_argv-3,host_literal_argv,25227,25616,true,true
m5-20260910-21-host_cancel_timeout-3,host_cancel_timeout,25987,26696,true,true
m5-20260910-22-host_stdin_stream-3,host_stdin_stream,38633,29180,false,false
m5-20260910-23-host_background-3,host_background,16741,16580,true,true
m5-20260910-24-host_cancel_timeout-4,host_cancel_timeout,24044,24982,true,true
m5-20260910-25-host_background-4,host_background,14328,19185,true,true
m5-20260910-26-host_path_inventory-4,host_path_inventory,16309,32698,true,true
m5-20260910-27-host_cwd_environment-4,host_cwd_environment,16175,11203,true,true
m5-20260910-28-host_stdin_stream-4,host_stdin_stream,15434,27655,true,false
m5-20260910-29-host_large_output-4,host_large_output,17468,12639,true,true
m5-20260910-30-host_literal_argv-4,host_literal_argv,17928,14393,true,true
m5-20260910-31-host_exit_recovery-4,host_exit_recovery,17290,16620,true,true
m5-20260910-32-host_background-5,host_background,16963,21426,true,true
m5-20260910-33-host_large_output-5,host_large_output,17701,13683,true,true
m5-20260910-34-host_stdin_stream-5,host_stdin_stream,32775,23144,false,true
m5-20260910-35-host_exit_recovery-5,host_exit_recovery,16329,17002,true,true
m5-20260910-36-host_path_inventory-5,host_path_inventory,16526,50527,true,true
m5-20260910-37-host_literal_argv-5,host_literal_argv,19513,21914,false,true
m5-20260910-38-host_cancel_timeout-5,host_cancel_timeout,27396,27620,true,true
m5-20260910-39-host_cwd_environment-5,host_cwd_environment,17334,13028,true,true
m5-20260910-40-host_stdin_stream-6,host_stdin_stream,15834,29084,true,false
m5-20260910-41-host_exit_recovery-6,host_exit_recovery,17503,15769,true,true
m5-20260910-42-host_background-6,host_background,15915,17501,true,true
m5-20260910-43-host_cwd_environment-6,host_cwd_environment,25067,10462,true,true
m5-20260910-44-host_literal_argv-6,host_literal_argv,34197,18439,true,true
m5-20260910-45-host_path_inventory-6,host_path_inventory,32433,37162,true,true
m5-20260910-46-host_large_output-6,host_large_output,16756,14014,true,true
m5-20260910-47-host_cancel_timeout-6,host_cancel_timeout,25607,25945,true,true
m5-20260910-48-host_cancel_timeout-7,host_cancel_timeout,26714,24735,true,true
m5-20260910-49-host_cwd_environment-7,host_cwd_environment,12267,8549,true,true
m5-20260910-50-host_path_inventory-7,host_path_inventory,18593,16075,true,true
m5-20260910-51-host_exit_recovery-7,host_exit_recovery,20926,17507,true,true
m5-20260910-52-host_stdin_stream-7,host_stdin_stream,21762,31730,true,false
m5-20260910-53-host_large_output-7,host_large_output,15272,17262,true,true
m5-20260910-54-host_background-7,host_background,22240,14519,true,true
m5-20260910-55-host_literal_argv-7,host_literal_argv,25004,21977,true,true
