block_id,task,shell_ms,transparent_ms,shell_success,transparent_success
m5-20260910-0-host_path_inventory-1,host_path_inventory,30776,33114,true,true
m5-20260910-1-host_cwd_environment-1,host_cwd_environment,13530,8035,true,true
m5-20260910-2-host_literal_argv-1,host_literal_argv,20663,28772,true,true
m5-20260910-3-host_background-1,host_background,16091,15926,true,true
m5-20260910-4-host_cancel_timeout-1,host_cancel_timeout,24649,23916,true,true
m5-20260910-5-host_exit_recovery-1,host_exit_recovery,15341,15730,true,true
m5-20260910-6-host_large_output-1,host_large_output,12144,12167,true,true
m5-20260910-7-host_stdin_stream-1,host_stdin_stream,25673,30747,true,false
m5-20260910-8-host_exit_recovery-2,host_exit_recovery,16445,17195,true,true
m5-20260910-9-host_literal_argv-2,host_literal_argv,17807,27299,true,true
m5-20260910-10-host_large_output-2,host_large_output,15171,14523,true,true
m5-20260910-11-host_cwd_environment-2,host_cwd_environment,12445,13838,true,true
m5-20260910-12-host_cancel_timeout-2,host_cancel_timeout,27737,22878,true,true
m5-20260910-13-host_stdin_stream-2,host_stdin_stream,25690,17940,true,true
m5-20260910-14-host_background-2,host_background,18555,17916,true,true
m5-20260910-15-host_path_inventory-2,host_path_inventory,24851,14756,true,true
m5-20260910-16-host_path_inventory-3,host_path_inventory,31606,42410,true,true
m5-20260910-17-host_cwd_environment-3,host_cwd_environment,12804,10971,true,true
m5-20260910-18-host_exit_recovery-3,host_exit_recovery,16438,15356,true,true
m5-20260910-19-host_large_output-3,host_large_output,14996,16442,true,true
m5-20260910-20-host_literal_argv-3,host_literal_argv,22851,26192,true,true
m5-20260910-21-host_cancel_timeout-3,host_cancel_timeout,25749,27104,true,true
m5-20260910-22-host_stdin_stream-3,host_stdin_stream,23070,24730,true,true
m5-20260910-23-host_background-3,host_background,17396,18881,true,true
m5-20260910-24-host_cancel_timeout-4,host_cancel_timeout,29062,25469,true,true
m5-20260910-25-host_background-4,host_background,16605,14334,true,true
m5-20260910-26-host_path_inventory-4,host_path_inventory,27450,18228,true,true
m5-20260910-27-host_cwd_environment-4,host_cwd_environment,12455,14366,true,true
m5-20260910-28-host_stdin_stream-4,host_stdin_stream,34846,23923,false,true
m5-20260910-29-host_large_output-4,host_large_output,14055,12284,true,true
m5-20260910-30-host_literal_argv-4,host_literal_argv,21251,26759,true,true
m5-20260910-31-host_exit_recovery-4,host_exit_recovery,16409,19346,true,true
m5-20260910-32-host_background-5,host_background,18095,15062,true,true
m5-20260910-33-host_large_output-5,host_large_output,14531,13796,true,true
m5-20260910-34-host_stdin_stream-5,host_stdin_stream,22175,37308,true,false
m5-20260910-35-host_exit_recovery-5,host_exit_recovery,17379,17453,true,true
m5-20260910-36-host_path_inventory-5,host_path_inventory,20584,28016,true,true
m5-20260910-37-host_literal_argv-5,host_literal_argv,18814,23196,true,true
m5-20260910-38-host_cancel_timeout-5,host_cancel_timeout,25615,25589,true,true
m5-20260910-39-host_cwd_environment-5,host_cwd_environment,8859,12968,true,true
