"suite","cohort","task","metric","selected_pairs","measured_pairs","shell_mean_ns","transparent_mean_ns","delta_ns","delta_ci95_low_ns","delta_ci95_high_ns","ratio","ratio_ci95_low","ratio_ci95_high"
"offline","ITT","all","codex_total_ns",240,240,10686027055.645834,10728435452.308332,42408396.6625,-108868987.62083334,211323185.07916668,1.0039685840623145,0.9897971632562039,1.0201445618064917
"offline","ITT","all","external_response_ns",240,0,,,,,,,,
"offline","ITT","all","rate_wait_ns",240,0,,,,,,,,
"offline","ITT","all","request_to_first_byte_ns",240,0,,,,,,,,
"offline","ITT","all","tool_call_ns",240,240,840349064.9708333,841889927.3833333,1540862.4125,-689090.0916666667,3778934.8666666667,1.0018335980567237,0.9991772694932821,1.0045213781822313
"offline","ITT","all","startup_to_ready_ns",240,230,41573710.686956525,43154200.45652174,1580489.7695652174,1181293.2260869564,1992614.3130434782,1.0380165672837351,1.029007051808484,1.0483266552187505
"offline","ITT","all","spawn_return_ns",240,240,3458137.4833333334,3406672.5166666666,-51464.96666666667,-112870.41666666667,8080.45,0.9851177210522414,0.9683682071903543,1.0024942699220454
"offline","ITT","all","policy_sandbox_spawn_ns",240,240,152948569.5625,154957286.10416666,2008716.5416666667,352397.4791666667,3864107.8041666667,1.013133280993817,1.0022511193976646,1.0253211195446852
"offline","ITT","all","fixture_runtime_ns",240,190,303909914.18421054,304317020.7105263,407106.5263157895,-1796955.8736842105,2851866.931578947,1.0013395631643296,0.9939966218058313,1.010351066969174
"offline","ITT","all","artifact_write_ns",240,240,46185632.69166667,40177051.670833334,-6008581.020833333,-14570290.975,2259805.975,0.8699036763024041,0.7142894573928074,1.0517386925565066
"offline","ITT","all","unexplained_ns",240,240,9845677990.675,9886545524.925,40867534.25,-111540962.95833333,208527088.17083332,1.0041508095520397,0.9888203008527318,1.0215961734772303
"offline","ITT","all","post_response_to_wait_ns",240,240,9619432928.85,9658995678.954166,39562750.104166664,-113094070.6625,208212324.17083332,1.0041127944232047,0.9883946768017392,1.0220503756680654
"offline","strict","all","codex_total_ns",240,240,10686027055.645834,10728435452.308332,42408396.6625,-108868987.62083334,211323185.07916668,1.0039685840623145,0.9897971632562039,1.0201445618064917
"offline","strict","all","external_response_ns",240,0,,,,,,,,
"offline","strict","all","rate_wait_ns",240,0,,,,,,,,
"offline","strict","all","request_to_first_byte_ns",240,0,,,,,,,,
"offline","strict","all","tool_call_ns",240,240,840349064.9708333,841889927.3833333,1540862.4125,-689090.0916666667,3778934.8666666667,1.0018335980567237,0.9991772694932821,1.0045213781822313
"offline","strict","all","startup_to_ready_ns",240,230,41573710.686956525,43154200.45652174,1580489.7695652174,1181293.2260869564,1992614.3130434782,1.0380165672837351,1.029007051808484,1.0483266552187505
"offline","strict","all","spawn_return_ns",240,240,3458137.4833333334,3406672.5166666666,-51464.96666666667,-112870.41666666667,8080.45,0.9851177210522414,0.9683682071903543,1.0024942699220454
"offline","strict","all","policy_sandbox_spawn_ns",240,240,152948569.5625,154957286.10416666,2008716.5416666667,352397.4791666667,3864107.8041666667,1.013133280993817,1.0022511193976646,1.0253211195446852
"offline","strict","all","fixture_runtime_ns",240,190,303909914.18421054,304317020.7105263,407106.5263157895,-1796955.8736842105,2851866.931578947,1.0013395631643296,0.9939966218058313,1.010351066969174
"offline","strict","all","artifact_write_ns",240,240,46185632.69166667,40177051.670833334,-6008581.020833333,-14570290.975,2259805.975,0.8699036763024041,0.7142894573928074,1.0517386925565066
"offline","strict","all","unexplained_ns",240,240,9845677990.675,9886545524.925,40867534.25,-111540962.95833333,208527088.17083332,1.0041508095520397,0.9888203008527318,1.0215961734772303
"offline","strict","all","post_response_to_wait_ns",240,240,9619432928.85,9658995678.954166,39562750.104166664,-113094070.6625,208212324.17083332,1.0041127944232047,0.9883946768017392,1.0220503756680654
"offline","strict","argv_empty_unicode","codex_total_ns",10,10,9285728741.6,9287754713.1,2025971.5,-4079903.9,7746780,1.000218181206492,0.9994930493477777,1.0007943563560162
"offline","strict","argv_empty_unicode","startup_to_ready_ns",10,10,20916113.2,21818522.3,902409.1,-444187.5,2348920.6,1.0431442061615923,0.9791695416907664,1.1171310486385786
"offline","strict","argv_empty_unicode","tool_call_ns",10,10,55461254.5,56828393.1,1367138.6,-715995.5,3299073.4,1.0246503367499558,0.9874259006635925,1.061247489698101
"offline","strict","argv_long","codex_total_ns",10,10,9296193356.3,10291127957.3,994934601,-14210463,2997833444.1,1.10702602268118,0.9986209040727477,1.4110089981260547
