pair_id,attempt_id,task_id,backend,phase,event,status,failure_class,monotonic_ns,elapsed_ms,command,artifact_dir
"pair-00-literal_argv","attempt-00-literal_argv-shell","literal_argv","shell","codex","start","unknown","unknown","82251","unknown","python3 -c 'import sys; print(repr(sys.argv[1:]))' 'alpha beta' 'quote""double' 'dollar$' '$(touch SHOULD_NOT_EXIST)'","attempts/pair-00-literal_argv/shell"
"pair-00-literal_argv","attempt-00-literal_argv-shell","literal_argv","shell","codex","exit","unknown","missing_command_event","578300598","578","unknown","attempts/pair-00-literal_argv/shell"
"pair-00-literal_argv","attempt-00-literal_argv-shell","literal_argv","shell","codex","reap","unknown","missing_command_event","578336956","unknown","unknown","attempts/pair-00-literal_argv/shell"
"pair-00-literal_argv","attempt-00-literal_argv-shell","literal_argv","shell","io","drain","unknown","missing_command_event","578396266","unknown","unknown","attempts/pair-00-literal_argv/shell"
"pair-00-literal_argv","attempt-00-literal_argv-transparent","literal_argv","transparent","codex","start","unknown","unknown","578495504","unknown","python3 -c 'import sys; print(repr(sys.argv[1:]))' 'alpha beta' 'quote""double' 'dollar$' '$(touch SHOULD_NOT_EXIST)'","attempts/pair-00-literal_argv/transparent"
"pair-00-literal_argv","attempt-00-literal_argv-transparent","literal_argv","transparent","codex","exit","unknown","missing_command_event","1106060835","527","unknown","attempts/pair-00-literal_argv/transparent"
"pair-00-literal_argv","attempt-00-literal_argv-transparent","literal_argv","transparent","codex","reap","unknown","missing_command_event","1106071640","unknown","unknown","attempts/pair-00-literal_argv/transparent"
"pair-00-literal_argv","attempt-00-literal_argv-transparent","literal_argv","transparent","io","drain","unknown","missing_command_event","1106075399","unknown","unknown","attempts/pair-00-literal_argv/transparent"
"pair-00-stdin_utf8","attempt-00-stdin_utf8-transparent","stdin_utf8","transparent","codex","start","unknown","unknown","1106161451","unknown","printf '第一行\n\n最后一行\n' | python3 -c 'import sys; print(sys.stdin.read(), end="""")'","attempts/pair-00-stdin_utf8/transparent"
"pair-00-stdin_utf8","attempt-00-stdin_utf8-transparent","stdin_utf8","transparent","codex","exit","unknown","missing_command_event","1558442780","452","unknown","attempts/pair-00-stdin_utf8/transparent"
"pair-00-stdin_utf8","attempt-00-stdin_utf8-transparent","stdin_utf8","transparent","codex","reap","unknown","missing_command_event","1558453591","unknown","unknown","attempts/pair-00-stdin_utf8/transparent"
"pair-00-stdin_utf8","attempt-00-stdin_utf8-transparent","stdin_utf8","transparent","io","drain","unknown","missing_command_event","1558457061","unknown","unknown","attempts/pair-00-stdin_utf8/transparent"
"pair-00-stdin_utf8","attempt-00-stdin_utf8-shell","stdin_utf8","shell","codex","start","unknown","unknown","1558527604","unknown","printf '第一行\n\n最后一行\n' | python3 -c 'import sys; print(sys.stdin.read(), end="""")'","attempts/pair-00-stdin_utf8/shell"
"pair-00-stdin_utf8","attempt-00-stdin_utf8-shell","stdin_utf8","shell","codex","exit","unknown","missing_command_event","2060314428","501","unknown","attempts/pair-00-stdin_utf8/shell"
"pair-00-stdin_utf8","attempt-00-stdin_utf8-shell","stdin_utf8","shell","codex","reap","unknown","missing_command_event","2060324793","unknown","unknown","attempts/pair-00-stdin_utf8/shell"
