pair_id,attempt_id,task_id,backend,phase,event,status,failure_class,monotonic_ns,elapsed_ms,command,artifact_dir,command_outcome,command_failure_class,turn_completed,recorded_status
"pair-00-literal_argv","attempt-00-literal_argv-shell","literal_argv","shell","codex","start","unknown","unknown","102530","unknown","python3 -c 'import sys; print(repr(sys.argv[1:]))' 'alpha beta' 'quote""double' 'dollar$' '$(touch SHOULD_NOT_EXIST)'","attempts/pair-00-literal_argv/shell","unknown","unknown","unknown","unknown"
"pair-00-literal_argv","attempt-00-literal_argv-shell","literal_argv","shell","codex","exit","relay_error","relay_request_timeout","135587517418","135587","/bin/bash -lc ""python3 -c 'import sys; print(repr(sys.argv[1:]))' 'alpha beta' 'quote\""double' 'dollar""'$'""' '""'$(touch SHOULD_NOT_EXIST)'""'""","attempts/pair-00-literal_argv/shell","success","unknown","false","success"
"pair-00-literal_argv","attempt-00-literal_argv-shell","literal_argv","shell","codex","reap","success","unknown","135587527911","unknown","unknown","attempts/pair-00-literal_argv/shell","unknown","unknown","unknown","unknown"
"pair-00-literal_argv","attempt-00-literal_argv-shell","literal_argv","shell","io","drain","success","unknown","135587531660","unknown","unknown","attempts/pair-00-literal_argv/shell","unknown","unknown","unknown","unknown"
"pair-00-literal_argv","attempt-00-literal_argv-shell","literal_argv","shell","child","exit","success","unknown","135587534999","unknown","/bin/bash -lc ""python3 -c 'import sys; print(repr(sys.argv[1:]))' 'alpha beta' 'quote\""double' 'dollar""'$'""' '""'$(touch SHOULD_NOT_EXIST)'""'""","attempts/pair-00-literal_argv/shell","unknown","unknown","unknown","success"
"pair-00-literal_argv","attempt-00-literal_argv-transparent","literal_argv","transparent","codex","start","unknown","unknown","141587872029","unknown","python3 -c 'import sys; print(repr(sys.argv[1:]))' 'alpha beta' 'quote""double' 'dollar$' '$(touch SHOULD_NOT_EXIST)'","attempts/pair-00-literal_argv/transparent","unknown","unknown","unknown","unknown"
"pair-00-literal_argv","attempt-00-literal_argv-transparent","literal_argv","transparent","codex","exit","success","unknown","226407744756","84819","/bin/bash -lc ""python3 -c 'import sys; print(repr(sys.argv[1:]))' 'alpha beta' 'quote\""double' 'dollar""'$'""' '""'$(touch SHOULD_NOT_EXIST)'""'""","attempts/pair-00-literal_argv/transparent","success","unknown","true","success"
"pair-00-literal_argv","attempt-00-literal_argv-transparent","literal_argv","transparent","codex","reap","success","unknown","226407761031","unknown","unknown","attempts/pair-00-literal_argv/transparent","unknown","unknown","unknown","unknown"
"pair-00-literal_argv","attempt-00-literal_argv-transparent","literal_argv","transparent","io","drain","success","unknown","226407764971","unknown","unknown","attempts/pair-00-literal_argv/transparent","unknown","unknown","unknown","unknown"
"pair-00-literal_argv","attempt-00-literal_argv-transparent","literal_argv","transparent","child","exit","success","unknown","226407768258","unknown","/bin/bash -lc ""python3 -c 'import sys; print(repr(sys.argv[1:]))' 'alpha beta' 'quote\""double' 'dollar""'$'""' '""'$(touch SHOULD_NOT_EXIST)'""'""","attempts/pair-00-literal_argv/transparent","unknown","unknown","unknown","success"
"pair-00-stdin_utf8","attempt-00-stdin_utf8-transparent","stdin_utf8","transparent","codex","start","unknown","unknown","232407994256","unknown","printf '第一行\n\n最后一行\n' | python3 -c 'import sys; print(sys.stdin.read(), end="""")'","attempts/pair-00-stdin_utf8/transparent","unknown","unknown","unknown","unknown"
"pair-00-stdin_utf8","attempt-00-stdin_utf8-transparent","stdin_utf8","transparent","codex","exit","success","unknown","388139289284","155731","/bin/bash -lc ""printf '第一行\\n\\n最后一行\\n' | python3 -c 'import sys; print(sys.stdin.read(), end=\""\"")'""","attempts/pair-00-stdin_utf8/transparent","success","unknown","true","success"
"pair-00-stdin_utf8","attempt-00-stdin_utf8-transparent","stdin_utf8","transparent","codex","reap","success","unknown","388139303233","unknown","unknown","attempts/pair-00-stdin_utf8/transparent","unknown","unknown","unknown","unknown"
"pair-00-stdin_utf8","attempt-00-stdin_utf8-transparent","stdin_utf8","transparent","io","drain","success","unknown","388139311438","unknown","unknown","attempts/pair-00-stdin_utf8/transparent","unknown","unknown","unknown","unknown"
"pair-00-stdin_utf8","attempt-00-stdin_utf8-transparent","stdin_utf8","transparent","child","exit","success","unknown","388139314958","unknown","/bin/bash -lc ""printf '第一行\\n\\n最后一行\\n' | python3 -c 'import sys; print(sys.stdin.read(), end=\""\"")'""","attempts/pair-00-stdin_utf8/transparent","unknown","unknown","unknown","success"
"pair-00-stdin_utf8","attempt-00-stdin_utf8-shell","stdin_utf8","shell","codex","start","unknown","unknown","394139501474","unknown","printf '第一行\n\n最后一行\n' | python3 -c 'import sys; print(sys.stdin.read(), end="""")'","attempts/pair-00-stdin_utf8/shell","unknown","unknown","unknown","unknown"
"pair-00-stdin_utf8","attempt-00-stdin_utf8-shell","stdin_utf8","shell","codex","exit","relay_error","relay_request_timeout","467892073026","73752","/bin/bash -lc ""printf '第一行\\n\\n最后一行\\n' | python3 -c 'import sys; print(sys.stdin.read(), end=\""\"")'""","attempts/pair-00-stdin_utf8/shell","success","unknown","false","success"
"pair-00-stdin_utf8","attempt-00-stdin_utf8-shell","stdin_utf8","shell","codex","reap","success","unknown","467892089300","unknown","unknown","attempts/pair-00-stdin_utf8/shell","unknown","unknown","unknown","unknown"
"pair-00-stdin_utf8","attempt-00-stdin_utf8-shell","stdin_utf8","shell","io","drain","success","unknown","467892095215","unknown","unknown","attempts/pair-00-stdin_utf8/shell","unknown","unknown","unknown","unknown"
"pair-00-stdin_utf8","attempt-00-stdin_utf8-shell","stdin_utf8","shell","child","exit","success","unknown","467892100455","unknown","/bin/bash -lc ""printf '第一行\\n\\n最后一行\\n' | python3 -c 'import sys; print(sys.stdin.read(), end=\""\"")'""","attempts/pair-00-stdin_utf8/shell","unknown","unknown","unknown","success"
"pair-00-cwd_environment","attempt-00-cwd_environment-shell","cwd_environment","shell","codex","start","unknown","unknown","473892596540","unknown","printf '%s|%s\n' ""$PWD"" ""$MBTX_EVAL_MARKER""","attempts/pair-00-cwd_environment/shell","unknown","unknown","unknown","unknown"
"pair-00-cwd_environment","attempt-00-cwd_environment-shell","cwd_environment","shell","codex","exit","success","unknown","629392296336","155499","/bin/bash -lc ""printf '%s|%s\\n' \""""'$PWD"" ""$MBTX_EVAL_MARKER""'","attempts/pair-00-cwd_environment/shell","success","unknown","true","success"
"pair-00-cwd_environment","attempt-00-cwd_environment-shell","cwd_environment","shell","codex","reap","success","unknown","629392320446","unknown","unknown","attempts/pair-00-cwd_environment/shell","unknown","unknown","unknown","unknown"
"pair-00-cwd_environment","attempt-00-cwd_environment-shell","cwd_environment","shell","io","drain","success","unknown","629392325643","unknown","unknown","attempts/pair-00-cwd_environment/shell","unknown","unknown","unknown","unknown"
"pair-00-cwd_environment","attempt-00-cwd_environment-shell","cwd_environment","shell","child","exit","success","unknown","629392330215","unknown","/bin/bash -lc ""printf '%s|%s\\n' \""""'$PWD"" ""$MBTX_EVAL_MARKER""'","attempts/pair-00-cwd_environment/shell","unknown","unknown","unknown","success"
"pair-00-cwd_environment","attempt-00-cwd_environment-transparent","cwd_environment","transparent","codex","start","unknown","unknown","635392757133","unknown","printf '%s|%s\n' ""$PWD"" ""$MBTX_EVAL_MARKER""","attempts/pair-00-cwd_environment/transparent","unknown","unknown","unknown","unknown"
"pair-00-cwd_environment","attempt-00-cwd_environment-transparent","cwd_environment","transparent","codex","exit","success","unknown","677324908093","41932","/bin/bash -lc ""printf '%s|%s
' \""""'$PWD"" ""$MBTX_EVAL_MARKER""'","attempts/pair-00-cwd_environment/transparent","success","unknown","true","success"
"pair-00-cwd_environment","attempt-00-cwd_environment-transparent","cwd_environment","transparent","codex","reap","success","unknown","677324918518","unknown","unknown","attempts/pair-00-cwd_environment/transparent","unknown","unknown","unknown","unknown"
"pair-00-cwd_environment","attempt-00-cwd_environment-transparent","cwd_environment","transparent","io","drain","success","unknown","677324922431","unknown","unknown","attempts/pair-00-cwd_environment/transparent","unknown","unknown","unknown","unknown"
"pair-00-cwd_environment","attempt-00-cwd_environment-transparent","cwd_environment","transparent","child","exit","success","unknown","677324927031","unknown","/bin/bash -lc ""printf '%s|%s
' \""""'$PWD"" ""$MBTX_EVAL_MARKER""'","attempts/pair-00-cwd_environment/transparent","unknown","unknown","unknown","success"
"pair-00-large_output","attempt-00-large_output-transparent","large_output","transparent","codex","start","unknown","unknown","683325156885","unknown","python3 -c 'import sys; sys.stdout.write(""x""*65536); sys.stderr.write(""e""*4096)'","attempts/pair-00-large_output/transparent","unknown","unknown","unknown","unknown"
"pair-00-large_output","attempt-00-large_output-transparent","large_output","transparent","codex","exit","relay_error","relay_or_transport","719233792323","35908","unknown","attempts/pair-00-large_output/transparent","unknown","missing_command_event","false","relay_error"
"pair-00-large_output","attempt-00-large_output-transparent","large_output","transparent","codex","reap","relay_error","relay_or_transport","719233802669","unknown","unknown","attempts/pair-00-large_output/transparent","unknown","unknown","unknown","unknown"
"pair-00-large_output","attempt-00-large_output-transparent","large_output","transparent","io","drain","relay_error","relay_or_transport","719233806706","unknown","unknown","attempts/pair-00-large_output/transparent","unknown","unknown","unknown","unknown"
"pair-00-large_output","attempt-00-large_output-transparent","large_output","transparent","relay","error","relay_error","relay_or_transport","719233810243","unknown","unknown","attempts/pair-00-large_output/transparent","unknown","unknown","unknown","unknown"
"pair-00-large_output","attempt-00-large_output-shell","large_output","shell","codex","start","unknown","unknown","725234069644","unknown","python3 -c 'import sys; sys.stdout.write(""x""*65536); sys.stderr.write(""e""*4096)'","attempts/pair-00-large_output/shell","unknown","unknown","unknown","unknown"
"pair-00-large_output","attempt-00-large_output-shell","large_output","shell","codex","exit","success","unknown","835336878951","110102","/bin/bash -lc ""python3 -c 'import sys; sys.stdout.write(\""x\""*65536); sys.stderr.write(\""e\""*4096)'""","attempts/pair-00-large_output/shell","success","unknown","true","success"
"pair-00-large_output","attempt-00-large_output-shell","large_output","shell","codex","reap","success","unknown","835336896918","unknown","unknown","attempts/pair-00-large_output/shell","unknown","unknown","unknown","unknown"
"pair-00-large_output","attempt-00-large_output-shell","large_output","shell","io","drain","success","unknown","835336902278","unknown","unknown","attempts/pair-00-large_output/shell","unknown","unknown","unknown","unknown"
"pair-00-large_output","attempt-00-large_output-shell","large_output","shell","child","exit","success","unknown","835336906624","unknown","/bin/bash -lc ""python3 -c 'import sys; sys.stdout.write(\""x\""*65536); sys.stderr.write(\""e\""*4096)'""","attempts/pair-00-large_output/shell","unknown","unknown","unknown","success"
