pair_id,attempt_id,task_id,backend,phase,event,status,failure_class,monotonic_ns,elapsed_ms,command,artifact_dir,command_outcome,command_failure_class,turn_completed,recorded_status
"pair-00-literal_argv","attempt-00-literal_argv-shell","literal_argv","shell","codex","start","unknown","unknown","143955","unknown","python3 -c 'import sys; print(repr(sys.argv[1:]))' 'alpha beta' 'quote""double' 'dollar$' '$(touch SHOULD_NOT_EXIST)'","attempts/pair-00-literal_argv/shell","unknown","unknown","unknown","unknown"
"pair-00-literal_argv","attempt-00-literal_argv-shell","literal_argv","shell","codex","exit","success","unknown","17812288365","17812","/bin/bash -lc ""python3 -c 'import sys; print(repr(sys.argv[1:]))' 'alpha beta' 'quote\""double' 'dollar""'$'""' '""'$(touch SHOULD_NOT_EXIST)'""'""","attempts/pair-00-literal_argv/shell","success","unknown","true","success"
"pair-00-literal_argv","attempt-00-literal_argv-shell","literal_argv","shell","codex","reap","success","unknown","17812304858","unknown","unknown","attempts/pair-00-literal_argv/shell","unknown","unknown","unknown","unknown"
"pair-00-literal_argv","attempt-00-literal_argv-shell","literal_argv","shell","io","drain","success","unknown","17812313729","unknown","unknown","attempts/pair-00-literal_argv/shell","unknown","unknown","unknown","unknown"
"pair-00-literal_argv","attempt-00-literal_argv-shell","literal_argv","shell","child","exit","success","unknown","17812317862","unknown","/bin/bash -lc ""python3 -c 'import sys; print(repr(sys.argv[1:]))' 'alpha beta' 'quote\""double' 'dollar""'$'""' '""'$(touch SHOULD_NOT_EXIST)'""'""","attempts/pair-00-literal_argv/shell","unknown","unknown","unknown","success"
"pair-00-literal_argv","attempt-00-literal_argv-transparent","literal_argv","transparent","codex","start","unknown","unknown","23812842864","unknown","python3 -c 'import sys; print(repr(sys.argv[1:]))' 'alpha beta' 'quote""double' 'dollar$' '$(touch SHOULD_NOT_EXIST)'","attempts/pair-00-literal_argv/transparent","unknown","unknown","unknown","unknown"
"pair-00-literal_argv","attempt-00-literal_argv-transparent","literal_argv","transparent","codex","exit","success","unknown","42163850292","18350","/bin/bash -lc ""python3 -c 'import sys; print(repr(sys.argv[1:]))' 'alpha beta' 'quote\""double' 'dollar""'$'""' '""'$(touch SHOULD_NOT_EXIST)'""'""","attempts/pair-00-literal_argv/transparent","success","unknown","true","success"
"pair-00-literal_argv","attempt-00-literal_argv-transparent","literal_argv","transparent","codex","reap","success","unknown","42163873500","unknown","unknown","attempts/pair-00-literal_argv/transparent","unknown","unknown","unknown","unknown"
"pair-00-literal_argv","attempt-00-literal_argv-transparent","literal_argv","transparent","io","drain","success","unknown","42163878954","unknown","unknown","attempts/pair-00-literal_argv/transparent","unknown","unknown","unknown","unknown"
"pair-00-literal_argv","attempt-00-literal_argv-transparent","literal_argv","transparent","child","exit","success","unknown","42163883316","unknown","/bin/bash -lc ""python3 -c 'import sys; print(repr(sys.argv[1:]))' 'alpha beta' 'quote\""double' 'dollar""'$'""' '""'$(touch SHOULD_NOT_EXIST)'""'""","attempts/pair-00-literal_argv/transparent","unknown","unknown","unknown","success"
"pair-00-stdin_utf8","attempt-00-stdin_utf8-transparent","stdin_utf8","transparent","codex","start","unknown","unknown","48164404069","unknown","printf '第一行\n\n最后一行\n' | python3 -c 'import sys; print(sys.stdin.read(), end="""")'","attempts/pair-00-stdin_utf8/transparent","unknown","unknown","unknown","unknown"
"pair-00-stdin_utf8","attempt-00-stdin_utf8-transparent","stdin_utf8","transparent","codex","exit","success","unknown","66838552874","18674","/bin/bash -lc ""printf '第一行\\n\\n最后一行\\n' | python3 -c 'import sys; print(sys.stdin.read(), end=\""\"")'""","attempts/pair-00-stdin_utf8/transparent","success","unknown","true","success"
"pair-00-stdin_utf8","attempt-00-stdin_utf8-transparent","stdin_utf8","transparent","codex","reap","success","unknown","66838567468","unknown","unknown","attempts/pair-00-stdin_utf8/transparent","unknown","unknown","unknown","unknown"
