pair_id,task_id,backend,status,strict_comparable,codex_total_ns,external_response_ns,rate_wait_ns,startup_to_ready_ns,unexplained_ns
"probe-0","relay_probe","shell","success","true","27133684399","5350248249","11566611613","null","10216645706"
"probe-1","relay_probe","shell","relay_error","false","94907097775","91888162362","2825523679","null","193357937"
"probe-2","relay_probe","shell","success","true","140047409825","126806530880","null","null","13240700819"
"r1-argv_empty_unicode-a00","argv_empty_unicode","shell","success","true","26845858071","8043892818","8537144397","23235803","10220417824"
"r1-argv_empty_unicode-a00","argv_empty_unicode","transparent","success","true","29852667143","7683310730","11925116705","23111192","10211467024"
"r1-argv_empty_unicode-a01","argv_empty_unicode","shell","success","true","29820045867","9540908557","9994424091","25111558","10214954947"
"r1-argv_empty_unicode-a01","argv_empty_unicode","transparent","success","true","102279932469","90801973333","1183903670","22951462","10234046190"
"r1-argv_empty_unicode-a02","argv_empty_unicode","shell","success","true","29232257308","11731277531","7189123191","21722509","10226291635"
"r1-argv_empty_unicode-a02","argv_empty_unicode","transparent","success","true","27845293542","6887090858","10676288306","23382511","10219607408"
"r1-argv_empty_unicode-a03","argv_empty_unicode","shell","success","true","28747691910","7986826060","10495701914","23431736","10220785231"
"r1-argv_empty_unicode-a03","argv_empty_unicode","transparent","success","true","29194836630","10570778808","8310190754","22905311","10213044320"
"r1-argv_long-a00","argv_long","shell","unknown","false","33990950647","20748505449","2950409475","24935849","10230229472"
"r1-argv_long-a00","argv_long","transparent","unknown","false","87903748430","74894449152","2645687854","25511780","10217772605"
"r1-argv_long-a01","argv_long","shell","unknown","false","28693562084","12882005398","5583190383","null","10228182946"
"r1-argv_long-a01","argv_long","transparent","unknown","false","113584647349","102184897180","1066916876","23572929","10217561511"
"r1-argv_long-a02","argv_long","shell","unknown","false","31850801508","14722591866","6900065004","null","10227962693"
"r1-argv_long-a02","argv_long","transparent","unknown","false","28330140581","11826640211","6292433084","null","10210891572"
"r1-argv_long-a03","argv_long","shell","unknown","false","31370884136","16327741747","4821279918","null","10221688346"
"r1-argv_long-a03","argv_long","transparent","unknown","false","29135328877","11463439521","7443223813","null","10228483177"
"r1-argv_long-a04","argv_long","shell","unknown","false","30317501526","13419038969","6683844058","null","10214476219"
"r1-argv_long-a04","argv_long","transparent","unknown","false","29447294578","18631251185","604705545","null","10211159103"
"r1-argv_long-a05","argv_long","shell","unknown","false","30927852634","11649139650","9061792514","null","10216744003"
"r1-argv_long-a05","argv_long","transparent","unknown","false","31213402441","13140640405","7858184285","null","10214402016"
"r1-argv_metacharacters-a00","argv_metacharacters","shell","success","true","30512834597","9338651076","10925893240","20649200","10215009520"
"r1-argv_metacharacters-a00","argv_metacharacters","transparent","success","true","30002116272","7038664060","12590081006","23806982","10226086330"
"r1-argv_metacharacters-a01","argv_metacharacters","shell","success","true","136394753548","121112665029","4966717580","23555249","10225423498"
"r1-argv_metacharacters-a01","argv_metacharacters","transparent","relay_error","false","125382855890","125191236661","null","null","191530020"
"r1-argv_metacharacters-a02","argv_metacharacters","shell","success","true","29909766516","7979647367","11655204312","23818049","10213098825"
"r1-argv_metacharacters-a02","argv_metacharacters","transparent","success","true","28741717256","8824727368","9656499480","23440805","10218588807"
"r1-argv_metacharacters-a03","argv_metacharacters","shell","success","true","29983759819","7665557256","12039132690","23711154","10215207372"
