pair_id,task_id,backend,status,strict_comparable,codex_total_ns,external_response_ns,rate_wait_ns,startup_to_ready_ns,unexplained_ns
"r1-argv_empty_unicode-a00","argv_empty_unicode","shell","success","true","10279955607","null","null","21854130","10223906818"
"r1-argv_empty_unicode-a00","argv_empty_unicode","transparent","success","true","10291246760","null","null","22314800","10232004192"
"r1-argv_empty_unicode-a01","argv_empty_unicode","shell","success","true","10281941036","null","null","18680871","10230238154"
"r1-argv_empty_unicode-a01","argv_empty_unicode","transparent","success","true","10286037413","null","null","19845829","10232392982"
"r1-argv_empty_unicode-a02","argv_empty_unicode","shell","success","true","10284042192","null","null","22535237","10228734544"
"r1-argv_empty_unicode-a02","argv_empty_unicode","transparent","success","true","10294270839","null","null","21800665","10236116742"
"r1-argv_empty_unicode-a03","argv_empty_unicode","shell","success","true","10297391384","null","null","22107001","10242629307"
"r1-argv_empty_unicode-a03","argv_empty_unicode","transparent","success","true","10284500402","null","null","23996339","10227087081"
"r1-argv_empty_unicode-a04","argv_empty_unicode","shell","success","true","10287298365","null","null","20006537","10230674464"
"r1-argv_empty_unicode-a04","argv_empty_unicode","transparent","success","true","10284827326","null","null","22675523","10228844383"
"r1-argv_empty_unicode-a05","argv_empty_unicode","shell","success","true","10276055695","null","null","19704792","10223477164"
"r1-argv_empty_unicode-a05","argv_empty_unicode","transparent","success","true","10294070286","null","null","20703537","10236290629"
"r1-argv_empty_unicode-a06","argv_empty_unicode","shell","success","true","10289287276","null","null","20674304","10231918794"
"r1-argv_empty_unicode-a06","argv_empty_unicode","transparent","success","true","10286462108","null","null","20479721","10229163664"
"r1-argv_empty_unicode-a07","argv_empty_unicode","shell","success","true","300004979","null","null","24293430","239021787"
"r1-argv_empty_unicode-a07","argv_empty_unicode","transparent","success","true","288428581","null","null","21335421","230732502"
"r1-argv_empty_unicode-a08","argv_empty_unicode","shell","success","true","10277868861","null","null","17875410","10227115102"
"r1-argv_empty_unicode-a08","argv_empty_unicode","transparent","success","true","10287333635","null","null","23961984","10230151160"
"r1-argv_empty_unicode-a09","argv_empty_unicode","shell","success","true","10283442021","null","null","21429420","10224958737"
"r1-argv_empty_unicode-a09","argv_empty_unicode","transparent","success","true","10280369781","null","null","21071404","10226479865"
"r1-argv_long-a00","argv_long","shell","success","true","10334912976","null","null","23002990","10272998049"
"r1-argv_long-a00","argv_long","transparent","success","true","10279344033","null","null","21095707","10223481360"
"r1-argv_long-a01","argv_long","shell","success","true","10290495035","null","null","20888720","10234724695"
"r1-argv_long-a01","argv_long","transparent","success","true","10290132052","null","null","22523977","10231252097"
"r1-argv_long-a02","argv_long","shell","success","true","10289323927","null","null","19219871","10231704399"
"r1-argv_long-a02","argv_long","transparent","success","true","10291704714","null","null","21558423","10232332986"
"r1-argv_long-a03","argv_long","shell","success","true","10290115430","null","null","20446303","10232290110"
"r1-argv_long-a03","argv_long","transparent","success","true","10287084436","null","null","21645035","10230569292"
"r1-argv_long-a04","argv_long","shell","success","true","10290271707","null","null","21471412","10230686692"
"r1-argv_long-a04","argv_long","transparent","success","true","10305287543","null","null","21276016","10245494118"
"r1-argv_long-a05","argv_long","shell","success","true","10292399186","null","null","19994338","10233305385"
"r1-argv_long-a05","argv_long","transparent","success","true","10296959152","null","null","21166789","10236336093"
"r1-argv_long-a06","argv_long","shell","success","true","10294258972","null","null","19918727","10234882826"
"r1-argv_long-a06","argv_long","transparent","success","true","10285282723","null","null","21924900","10225317460"
"r1-argv_long-a07","argv_long","shell","success","true","300417884","null","null","18735822","243138811"
"r1-argv_long-a07","argv_long","transparent","success","true","10284995298","null","null","21245111","10226852987"
"r1-argv_long-a08","argv_long","shell","success","true","10287973316","null","null","21076107","10229362621"
"r1-argv_long-a08","argv_long","transparent","success","true","10298146275","null","null","21942155","10240381648"
"r1-argv_long-a09","argv_long","shell","success","true","10291765130","null","null","21179461","10235932709"
"r1-argv_long-a09","argv_long","transparent","success","true","10292343347","null","null","23725232","10230504929"
"r1-argv_metacharacters-a00","argv_metacharacters","shell","success","true","10287006110","null","null","21636909","10232298008"
"r1-argv_metacharacters-a00","argv_metacharacters","transparent","success","true","10291671104","null","null","20552782","10234178953"
"r1-argv_metacharacters-a01","argv_metacharacters","shell","success","true","10286333410","null","null","20561512","10232975294"
"r1-argv_metacharacters-a01","argv_metacharacters","transparent","success","true","10287511379","null","null","23449542","10231228737"
"r1-argv_metacharacters-a02","argv_metacharacters","shell","success","true","10281840380","null","null","21286789","10224693051"
"r1-argv_metacharacters-a02","argv_metacharacters","transparent","success","true","10292335682","null","null","22147687","10233857403"
"r1-argv_metacharacters-a03","argv_metacharacters","shell","success","true","10276978323","null","null","22263784","10221608373"
"r1-argv_metacharacters-a03","argv_metacharacters","transparent","success","true","10283982797","null","null","21130936","10229766622"
"r1-argv_metacharacters-a04","argv_metacharacters","shell","success","true","10281946357","null","null","19052506","10230463800"
"r1-argv_metacharacters-a04","argv_metacharacters","transparent","success","true","10283292384","null","null","20740844","10229063905"
"r1-argv_metacharacters-a05","argv_metacharacters","shell","success","true","10276796024","null","null","20219600","10220398537"
"r1-argv_metacharacters-a05","argv_metacharacters","transparent","success","true","10280701206","null","null","19919345","10227898264"
"r1-argv_metacharacters-a06","argv_metacharacters","shell","success","true","10291515673","null","null","21568651","10235480343"
"r1-argv_metacharacters-a06","argv_metacharacters","transparent","success","true","10294623324","null","null","20876659","10239840666"
"r1-argv_metacharacters-a07","argv_metacharacters","shell","success","true","10270563438","null","null","18105000","10220277626"
"r1-argv_metacharacters-a07","argv_metacharacters","transparent","success","true","10310108300","null","null","21166801","10251947299"
"r1-argv_metacharacters-a08","argv_metacharacters","shell","success","true","10291945844","null","null","23199553","10235594527"
"r1-argv_metacharacters-a08","argv_metacharacters","transparent","success","true","10295185322","null","null","22661546","10235868070"
"r1-argv_metacharacters-a09","argv_metacharacters","shell","success","true","10285052835","null","null","20335896","10228444027"
"r1-argv_metacharacters-a09","argv_metacharacters","transparent","success","true","10285029932","null","null","21648472","10228720989"
"r1-cancel_ctrl_c-a00","cancel_ctrl_c","shell","success","true","11504959584","null","null","20097381","10240290730"
"r1-cancel_ctrl_c-a00","cancel_ctrl_c","transparent","success","true","11502222062","null","null","23195798","10237891954"
"r1-cancel_ctrl_c-a01","cancel_ctrl_c","shell","success","true","11490515716","null","null","23262962","10227277224"
"r1-cancel_ctrl_c-a01","cancel_ctrl_c","transparent","success","true","11498438720","null","null","24824852","10237194472"
"r1-cancel_ctrl_c-a02","cancel_ctrl_c","shell","success","true","11508434137","null","null","24435311","10246097340"
"r1-cancel_ctrl_c-a02","cancel_ctrl_c","transparent","success","true","11503740579","null","null","22139632","10241321189"
"r1-cancel_ctrl_c-a03","cancel_ctrl_c","shell","success","true","11505160215","null","null","22958260","10242649828"
"r1-cancel_ctrl_c-a03","cancel_ctrl_c","transparent","success","true","11556765792","null","null","23792662","10295002198"
"r1-cancel_ctrl_c-a04","cancel_ctrl_c","shell","success","true","11494150066","null","null","21136050","10232232037"
"r1-cancel_ctrl_c-a04","cancel_ctrl_c","transparent","success","true","11501021197","null","null","22784550","10237943546"
"r1-cancel_ctrl_c-a05","cancel_ctrl_c","shell","success","true","11499583471","null","null","18814649","10232923100"
"r1-cancel_ctrl_c-a05","cancel_ctrl_c","transparent","success","true","11500370765","null","null","23446622","10236860053"
"r1-cancel_ctrl_c-a06","cancel_ctrl_c","shell","success","true","11533476595","null","null","19773394","10270881149"
"r1-cancel_ctrl_c-a06","cancel_ctrl_c","transparent","success","true","11492383465","null","null","21012178","10229790239"
"r1-cancel_ctrl_c-a07","cancel_ctrl_c","shell","success","true","1527497628","null","null","21321664","266191223"
