pair_id,attempt_id,task_id,backend,phase,event,status,failure_class,monotonic_ns,elapsed_ms,command,artifact_dir
"pair-00-literal_argv","attempt-00-0-shell","literal_argv","shell","child","start","unknown","unknown","113","unknown","unknown","unknown"
"pair-00-literal_argv","attempt-00-0-shell","literal_argv","shell","child","exit","success","unknown","562540","unknown","unknown","/home/zseanyves/Moonbit/Codex-MBTX/evidence/linux/launcher/20260913T055354901398588/pair-00-literal_argv/shell"
"pair-00-literal_argv","attempt-00-0-transparent","literal_argv","transparent","child","start","unknown","unknown","587178","unknown","unknown","unknown"
"pair-00-literal_argv","attempt-00-0-transparent","literal_argv","transparent","child","exit","success","unknown","1806047","unknown","unknown","/home/zseanyves/Moonbit/Codex-MBTX/evidence/linux/launcher/20260913T055354901398588/pair-00-literal_argv/transparent"
"pair-00-stdin_utf8","attempt-00-1-transparent","stdin_utf8","transparent","child","start","unknown","unknown","1830365","unknown","unknown","unknown"
"pair-00-stdin_utf8","attempt-00-1-transparent","stdin_utf8","transparent","child","exit","success","unknown","2965560","unknown","unknown","/home/zseanyves/Moonbit/Codex-MBTX/evidence/linux/launcher/20260913T055354901398588/pair-00-stdin_utf8/transparent"
"pair-00-stdin_utf8","attempt-00-1-shell","stdin_utf8","shell","child","start","unknown","unknown","2992163","unknown","unknown","unknown"
"pair-00-stdin_utf8","attempt-00-1-shell","stdin_utf8","shell","child","exit","success","unknown","3421795","unknown","unknown","/home/zseanyves/Moonbit/Codex-MBTX/evidence/linux/launcher/20260913T055354901398588/pair-00-stdin_utf8/shell"
"pair-00-cwd_environment","attempt-00-2-shell","cwd_environment","shell","child","start","unknown","unknown","3442095","unknown","unknown","unknown"
"pair-00-cwd_environment","attempt-00-2-shell","cwd_environment","shell","child","exit","success","unknown","3885549","unknown","unknown","/home/zseanyves/Moonbit/Codex-MBTX/evidence/linux/launcher/20260913T055354901398588/pair-00-cwd_environment/shell"
"pair-00-cwd_environment","attempt-00-2-transparent","cwd_environment","transparent","child","start","unknown","unknown","3906302","unknown","unknown","unknown"
"pair-00-cwd_environment","attempt-00-2-transparent","cwd_environment","transparent","child","exit","success","unknown","5097993","unknown","unknown","/home/zseanyves/Moonbit/Codex-MBTX/evidence/linux/launcher/20260913T055354901398588/pair-00-cwd_environment/transparent"
"pair-00-large_output","attempt-00-3-transparent","large_output","transparent","child","start","unknown","unknown","5123317","unknown","unknown","unknown"
"pair-00-large_output","attempt-00-3-transparent","large_output","transparent","child","exit","success","unknown","36425875","unknown","unknown","/home/zseanyves/Moonbit/Codex-MBTX/evidence/linux/launcher/20260913T055354901398588/pair-00-large_output/transparent"
"pair-00-large_output","attempt-00-3-shell","large_output","shell","child","start","unknown","unknown","36450717","unknown","unknown","unknown"
"pair-00-large_output","attempt-00-3-shell","large_output","shell","child","exit","success","unknown","37582514","unknown","unknown","/home/zseanyves/Moonbit/Codex-MBTX/evidence/linux/launcher/20260913T055354901398588/pair-00-large_output/shell"
"pair-00-nonzero_exit","attempt-00-4-shell","nonzero_exit","shell","child","start","unknown","unknown","37607305","unknown","unknown","unknown"
"pair-00-nonzero_exit","attempt-00-4-shell","nonzero_exit","shell","child","exit","success","unknown","38105651","unknown","unknown","/home/zseanyves/Moonbit/Codex-MBTX/evidence/linux/launcher/20260913T055354901398588/pair-00-nonzero_exit/shell"
"pair-00-nonzero_exit","attempt-00-4-transparent","nonzero_exit","transparent","child","start","unknown","unknown","38128871","unknown","unknown","unknown"
"pair-00-nonzero_exit","attempt-00-4-transparent","nonzero_exit","transparent","child","exit","success","unknown","39241502","unknown","unknown","/home/zseanyves/Moonbit/Codex-MBTX/evidence/linux/launcher/20260913T055354901398588/pair-00-nonzero_exit/transparent"
"pair-00-background_cleanup","attempt-00-5-transparent","background_cleanup","transparent","child","start","unknown","unknown","39265487","unknown","unknown","unknown"
"pair-00-background_cleanup","attempt-00-5-transparent","background_cleanup","transparent","child","exit","success","unknown","61457954","unknown","unknown","/home/zseanyves/Moonbit/Codex-MBTX/evidence/linux/launcher/20260913T055354901398588/pair-00-background_cleanup/transparent"
"pair-00-background_cleanup","attempt-00-5-shell","background_cleanup","shell","child","start","unknown","unknown","61481436","unknown","unknown","unknown"
"pair-00-background_cleanup","attempt-00-5-shell","background_cleanup","shell","child","exit","success","unknown","82619814","unknown","unknown","/home/zseanyves/Moonbit/Codex-MBTX/evidence/linux/launcher/20260913T055354901398588/pair-00-background_cleanup/shell"
"pair-00-signal_exit","attempt-00-6-shell","signal_exit","shell","child","start","unknown","unknown","82642305","unknown","unknown","unknown"
"pair-00-signal_exit","attempt-00-6-shell","signal_exit","shell","child","exit","success","unknown","83073141","unknown","unknown","/home/zseanyves/Moonbit/Codex-MBTX/evidence/linux/launcher/20260913T055354901398588/pair-00-signal_exit/shell"
