pair_id,backend,task_id,observation,sample_phase,status,startup_ns,spawn_return_ns,fixture_ready_ns
"formal-full-native-noop-0000","shell","native-noop","full","formal","success","423505","22913033756934","22913034060156"
"formal-full-native-noop-0000","transparent","native-noop","full","formal","success","868560","22913040455629","22913041206824"
"formal-full-native-noop-0001","shell","native-noop","full","formal","success","449713","22913055119590","22913055435990"
"formal-full-native-noop-0001","transparent","native-noop","full","formal","success","1002498","22913047550449","22913048440009"
"formal-full-native-noop-0002","shell","native-noop","full","formal","success","439985","22913077270616","22913077585705"
"formal-full-native-noop-0002","transparent","native-noop","full","formal","success","894312","22913084136623","22913084828439"
"formal-full-native-noop-0003","shell","native-noop","full","formal","success","434548","22913098785350","22913099098555"
"formal-full-native-noop-0003","transparent","native-noop","full","formal","success","942457","22913091317509","22913092135629"
"formal-full-native-noop-0004","shell","native-noop","full","formal","success","418005","22913120857672","22913121155697"
"formal-full-native-noop-0004","transparent","native-noop","full","formal","success","982441","22913127647700","22913128516259"
"formal-full-native-noop-0005","shell","native-noop","full","formal","success","419755","22913142389705","22913142694957"
"formal-full-native-noop-0005","transparent","native-noop","full","formal","success","935036","22913134999982","22913135812795"
"formal-full-native-noop-0006","shell","native-noop","full","formal","success","450818","22913165013600","22913165306199"
"formal-full-native-noop-0006","transparent","native-noop","full","formal","success","984570","22913171795258","22913172661763"
"formal-full-native-noop-0007","shell","native-noop","full","formal","success","419704","22913186863284","22913187161785"
"formal-full-native-noop-0007","transparent","native-noop","full","formal","success","986667","22913179362983","22913180226151"
"formal-full-native-noop-0008","shell","native-noop","full","formal","success","397808","22913209347300","22913209645801"
"formal-full-native-noop-0008","transparent","native-noop","full","formal","success","956614","22913223975702","22913224805659"
"formal-full-native-noop-0009","shell","native-noop","full","formal","success","435496","22913238954095","22913239269531"
"formal-full-native-noop-0009","transparent","native-noop","full","formal","success","1008885","22913231533671","22913232388894"
"formal-full-native-noop-0010","shell","native-noop","full","formal","success","423929","22913261264089","22913261566280"
"formal-full-native-noop-0010","transparent","native-noop","full","formal","success","891862","22913268005700","22913268740006"
"formal-full-native-noop-0011","shell","native-noop","full","formal","success","414380","22913282553045","22913282852427"
"formal-full-native-noop-0011","transparent","native-noop","full","formal","success","966727","22913275284044","22913276128735"
"formal-full-native-noop-0012","shell","native-noop","full","formal","success","484754","22913305481652","22913305812999"
"formal-full-native-noop-0012","transparent","native-noop","full","formal","success","1082200","22913312114397","22913313029129"
"formal-full-native-noop-0013","shell","native-noop","full","formal","success","444234","22913327276165","22913327593990"
"formal-full-native-noop-0013","transparent","native-noop","full","formal","success","1125847","22913319774634","22913320767918"
"formal-full-native-noop-0014","shell","native-noop","full","formal","success","430611","22913349753041","22913350067940"
"formal-full-native-noop-0014","transparent","native-noop","full","formal","success","974183","22913356417872","22913357239147"
"formal-full-native-noop-0015","shell","native-noop","full","formal","success","423010","22913371308833","22913371631375"
"formal-full-native-noop-0015","transparent","native-noop","full","formal","success","952954","22913363859596","22913364696211"
"formal-full-native-noop-0016","shell","native-noop","full","formal","success","415908","22913393860973","22913394171968"
"formal-full-native-noop-0016","transparent","native-noop","full","formal","success","997769","22913400817421","22913401689936"
"formal-full-native-noop-0017","shell","native-noop","full","formal","success","355107","22913415997544","22913416232886"
"formal-full-native-noop-0017","transparent","native-noop","full","formal","success","996654","22913408389970","22913409239294"
"formal-full-native-noop-0018","shell","native-noop","full","formal","success","417987","22913438186953","22913438506702"
"formal-full-native-noop-0018","transparent","native-noop","full","formal","success","1060831","22913445009714","22913445890140"
"formal-full-native-noop-0019","shell","native-noop","full","formal","success","334475","22913460076548","22913460264067"
"formal-full-native-noop-0019","transparent","native-noop","full","formal","success","940281","22913452600191","22913453421805"
"formal-full-native-noop-0020","shell","native-noop","full","formal","success","424193","22913481852798","22913482160248"
"formal-full-native-noop-0020","transparent","native-noop","full","formal","success","966196","22913488693785","22913489538275"
"formal-full-native-noop-0021","shell","native-noop","full","formal","success","415485","22913503560182","22913503855969"
"formal-full-native-noop-0021","transparent","native-noop","full","formal","success","940938","22913496035845","22913496868927"
"formal-full-native-noop-0022","shell","native-noop","full","formal","success","393696","22913525859158","22913526131802"
"formal-full-native-noop-0022","transparent","native-noop","full","formal","success","955774","22913532154974","22913532989641"
"formal-full-native-noop-0023","shell","native-noop","full","formal","success","494372","22913547003044","22913547325913"
"formal-full-native-noop-0023","transparent","native-noop","full","formal","success","1013384","22913539452858","22913540349587"
"formal-full-native-noop-0024","shell","native-noop","full","formal","success","516342","22913569652589","22913570047582"
"formal-full-native-noop-0024","transparent","native-noop","full","formal","success","984823","22913576457381","22913577319492"
"formal-full-native-noop-0025","shell","native-noop","full","formal","success","434625","22913591409168","22913591723707"
